Model,model,model_name,model_type,Feature set,feature_set,Region,region,region_display,split,evaluation_type,is_primary,calibration_method,test_universe,test_period,support,weighted_support,positives,observed_prevalence,mean_calibrated_predicted_probability,PR-AUC,average_precision,ROC-AUC,roc_auc,weighted_brier_score,Brier,weighted_logloss,reliability_ece,reliability_mce,reliability_rmse,daily_expected_observed_count_mae,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,predicted_positive_grid_cells_at_max_f1,calibration_intercept,calibration_slope,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error,weighted_brier_score_error,weighted_logloss_error,expected_observed_count_ratio_error,mean_calibrated_predicted_probability_error
Logistic Regression (linear SGD),Logistic Regression (linear SGD),Logistic Regression (linear SGD),linear_sgd,full features,full features,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,0.2763732959179351,0.0003551164502724,0.0003551164502724,0.8545967843562654,0.8545967843562654,0.2759086088930572,0.2759086088930572,7.493276839325877,0.2762776846693167,0.9997435497169046,0.5135355534893908,31971.50716777486,0.0007204822204256,0.0003603758384761,0.9635854341736696,0.999999999999,954559.0,-10.142005537495775,0.0799955884654139,991473.722202626,357.0,2777.2373170941905,0.0,0.0001608679545138,0.1796672833235394,0.0002608200707983,0.0007963191244696,0.0242792771244639,9.164212180958325,0.0009164212180981
Logistic Regression (linear SGD),Logistic Regression (linear SGD),Logistic Regression (linear SGD),linear_sgd,full features,full features,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,0.3002624261552263,0.0002957477252338,0.0002957477252338,0.8414930037302697,0.8414930037302697,0.2997854853671511,0.2997854853671511,8.144687858135269,0.3001768206948577,0.999999999999,0.547268872672526,26128.804437430408,0.0006018565353296,0.000301021937454,0.9670781893004116,0.999999999999,780674.0,-9.241846421279984,0.0471893011305576,810235.9375614217,243.0,3334.304269800089,0.0,3.871791732248955e-06,0.0016441876850272,7.738271571638639e-06,0.0027191481944533,0.0838251457491656,26.84419991097525,0.002684419991103
Logistic Regression (linear SGD),Logistic Regression (linear SGD),Logistic Regression (linear SGD),linear_sgd,full features,full features,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.0001966541666949,0.3347929416619857,0.0006118659802514,0.0006118659802514,0.8393663777316567,0.8393663777316567,0.334153421487095,0.334153421487095,9.061309532577845,0.3345962874956218,0.999999999999,0.5690525151020338,1591.6745396150984,0.001222983658408,0.0006118659802514,1.0,0.999999999999,47396.0,-9.79712127626434,0.0864284583607816,49370.91072811685,29.0,1702.4451975212708,0.0,2.026402824690067e-06,0.0005304361731244,4.047799841737437e-06,0.0017999778931593,0.046361828234529,8.890768990811349,0.0017781537981646
Logistic Regression (linear SGD),Logistic Regression (linear SGD),Logistic Regression (linear SGD),linear_sgd,full features,full features,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.0001036570196533,0.243300665560362,0.0004099462845759,0.0004099462845759,0.8732903457665541,0.8732903457665541,0.2429836793216186,0.2429836793216186,6.628853173775603,0.2431970085412224,0.999999999999,0.4871298125484983,1135.2436358680282,0.0008427439743805,0.0004215496163898,1.0,1.1882780672856349e-05,35583.0,-9.50697054565187,0.0642621639957865,35207.55271198321,15.0,2347.1701807988807,0.0,8.690112043548345e-06,0.0024044034963837,1.736545445976382e-05,0.0042995832733107,0.1253607042022341,43.374128922539576,0.0043374128922636
Poisson Point-Process GLM,Poisson Point-Process GLM,Poisson Point-Process GLM,poisson_glm,full features,full features,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,2.095176749839921e-05,9.951374850729378e-05,9.951374850729378e-05,0.2434794584017616,0.2434794584017616,9.951473539709684e-05,9.951473539709684e-05,0.0027706187477703,0.0001204655155993,0.0004460004896005,0.0001737464600513,9.739220319772548,0.000199007693013,9.951374850729378e-05,1.0,1e-12,3587444.0,-12.61459085343173,-0.1477441728903593,75.1632943280396,357.0,0.2105414406947887,0.0,0.0,0.0020331353094422,0.0,9.252759390782187e-12,1.914820854223544e-07,0.001914774588967,1.914774631354264e-07
Poisson Point-Process GLM,Poisson Point-Process GLM,Poisson Point-Process GLM,poisson_glm,full features,full features,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,2.027129108436153e-05,9.00524972706311e-05,9.00524972706311e-05,0.2574858710472937,0.2574858710472937,9.005345281594303e-05,9.005345281594303e-05,0.002508514223008,0.0001103237168969,0.0004076459547815,0.0001601868454202,6.659746311860832,0.0001800887770971,9.00524972706311e-05,1.0,1e-12,2698426.0,-11.013326796786057,-0.0817275419684709,54.70058028939805,243.0,0.2251052686806504,0.0,0.0,0.003270695932581,0.0,1.6862068362211936e-11,3.489485336451237e-07,0.003489401023436,3.4894010856965853e-07
Poisson Point-Process GLM,Poisson Point-Process GLM,Poisson Point-Process GLM,poisson_glm,full features,full features,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.0001966541666949,2.5079622107456168e-05,0.0001966541666949,0.0001966541666949,0.2262917294049024,0.2262917294049024,0.0001966553505072,0.0001966553505072,0.0054588356469675,0.000221733788555,0.0014919300139193,0.00042485828378,1.031403643305088,0.0003932310028746,0.0001966541666949,1.0,1e-12,147467.0,-12.842684866307376,-0.1844389161954062,3.6984167000720976,29.0,0.1275316103473137,0.0,0.0,0.0029527613637266,0.0,1.3409818378503568e-11,2.781125997870527e-07,0.0013905294733266,2.781059005872253e-07
Poisson Point-Process GLM,Poisson Point-Process GLM,Poisson Point-Process GLM,poisson_glm,full features,full features,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.0001036570196533,2.78613364982186e-05,0.0001036570196533,0.0001036570196533,0.1825727574934516,0.1825727574934516,0.0001036583322308,0.0001036583322308,0.0028920112920288,0.0001315183560163,0.0008293020031465,0.0002440521304605,0.5574702532886303,0.0002072925519786,0.0001036570196533,1.0,1e-12,144708.0,-18.23095481585824,-0.3639794270770328,4.0317583347657,15.0,0.26878388898438,0.0,0.0,0.0005303831242023,0.0,3.859301829732178e-12,8.105631855411365e-08,0.0008105438884218,8.105438991311687e-08
CatBoost,CatBoost,CatBoost,CatBoost,all features,all features,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,1.9093786403803264e-05,0.0001945614138752,0.0001945614138752,0.7435688835844695,0.7435688835844695,9.95082543755694e-05,9.95082543755694e-05,0.0010625584520153,8.376724029142074e-05,0.0003315903425008,0.0001267247764992,9.887186291132464,0.0020338983050847,0.001156961048978,0.0084033613445378,0.000102217131093,2593.0,-0.0728144428039413,0.8387473736656303,68.4978894716056,357.0,0.1918708388560381,0.0,0.0001731750252634,0.1334974323617266,0.0003474388592566,2.124596115155646e-09,3.880866945654718e-05,0.0001796521140939,1.7965211409398287e-08
CatBoost,CatBoost,CatBoost,CatBoost,all features,all features,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,2.097224335413814e-05,0.0001559826062642,0.0001559826062642,0.6988432425784773,0.6988432425784773,9.00477398840415e-05,9.00477398840415e-05,0.000967171502448,7.318187645521826e-05,0.0003216794958132,0.0001124727282394,6.647968773564831,0.0021156558533145,0.001156961048978,0.0123456790123456,0.000102217131093,2593.0,-0.0745889214584641,0.8449013737417436,56.59204674513356,243.0,0.2328890812556936,0.0,0.0003472541123763,0.1801269486978482,0.0009867196469556,3.223704523108226e-09,5.172755503268737e-05,0.0030456064832324,3.0456064832324534e-07
